w	(danh từ) w, w (v kép).
war bonnet	(danh từ) mũ lông chim (do các chiến binh của vài bộ lạc da đỏ bắc mỹ đội).
war chest	(danh từ) (từ mỹ, nghĩa mỹ) qũy chiến tranh (ngân qũy được quyên góp để chi phí cho một cuộc chiến tranh hay cuộc vận động nào đó).
war memorial	(danh từ) đài tưởng niệm chiến tranh (để tôn vinh những người chết trong một cuộc chiến tranh).
war-baby	(danh từ) đứa con đẻ trong chiến tranh.
war-baby	(danh từ) đứa con đẻ hoang (với bố là quân nhân).
war-cloud	(danh từ) mây đen chiến tranh; không khí bùng nổ chiến tranh.
war-cry	(danh từ) tiếng hô xung trận, tiếng hô xung phong.
war-cry	(danh từ) khẩu lệnh, khẩu hiệu.
war-dance	(danh từ) vũ trước khi ra trận.
war-dance	(danh từ) vũ mừng chiến thắng.
war-dance	(danh từ) vũ diễn cảnh chiến tranh.
war-dog	(danh từ) (quân sự) chó trận; khuyển binh.
war-fever	(danh từ) bệnh cuồng chiến.
war-game	(danh từ) trò chơi chiến tranh (dùng que gỗ làm quân di chuyển trên bản đồ).
war-game	(danh từ) (từ mỹ, nghĩa mỹ) cuộc tập trận giả (giữa hai nhóm sĩ quan hoặc hai đơn vị).
war-head	(danh từ) đầu nổ (của ngư lôi...).
war-horse	(danh từ) ngựa chiến.
war-horse	(danh từ) người nhớ dai (những chuyện tình xưa...).
war-lord	(danh từ) tư lệnh (chỉ huy trưởng, ).
war-man	(danh từ; số nhiều war-men) (từ cổ, nghĩa cổ) chiến binh; chinh phu.
war-paint	(danh từ) thuốc vẽ bôi lên người trước khi xuất trận (của các bộ tộc).
war-paint	(danh từ) (nghĩa bóng) lễ phục; trang phục đầy đủ.
war-paint	(danh từ) (từ mỹ, nghĩa mỹ) hoá trang.
war-path	(danh từ) con đường chiến tranh; đường đi của một cuộc viễn chinh (thổ dân mỹ).
war-plane	(danh từ) máy bay chiến đấu.
war-song	(danh từ) bài hát xuất trận (của các bộ tộc).
war-song	(danh từ) bài ca về đề tài quân sự.
war-time	(danh từ) thời chiến.
war-weary	(tính từ) bị kiệt quệ vì chiến tranh; mệt mỏi vì chiến tranh; chán chiến tranh.
war-whoop	(danh từ) hiệu lệnh xung phong.
war-worn	(tính từ) bị chiến tranh tàn phá; bị chiến tranh làm cho kiệt quệ.
war-worn	(tính từ) thiện chiến.
warbird	(danh từ) (quân sự) (thông tục) máy bay chiến đấu.
warbird	(danh từ) phi công lái máy bay chiến đấu.
warble	(danh từ) chai yên (chai cứng ở lưng ngựa do sự cọ xát của yên).
warble	(danh từ) u (do) ruồi giòi.
warble	(danh từ) giòi (của ruồi giòi).
warble	(danh từ) tiếng hót líu lo (chim); tiếng róc rách (suối); tiếng hát líu lo; giọng nói thỏ thẻ.
warble	(động từ) hót líu lo (chim); róc rách (suối); hát líu lo; nói thỏ thẻ (người).
warble	(động từ) kể lại bằng thơ.
warbler	(danh từ) (động vật học) chim chích.
warbler	(danh từ) người hay hát líu lo.
ward	(danh từ) sự trông nom, sự bảo trợ; sự giam giữ.
ward	(danh từ) khu, khu vực (thành phố).
ward	(danh từ) phòng, khu (nhà thương); phòng giam (nhà tù).
ward	(danh từ) (số nhiều) khe răng chìa khoá.
ward	(danh từ) (từ cổ, nghĩa cổ) (thể dục, thể thao) thế đỡ.
ward	(danh từ) canh giữ.
ward	(ngoại động từ) (từ cổ, nghĩa cổ) trông nom, bảo trợ.
ward	(ngoại động từ) tránh, đỡ, gạt (quả đấm).
ward	(ngoại động từ) phòng, ngăn ngừa (tai nạn).
warden	(danh từ) dân phòng.
warden	(danh từ) cai (nhà lao); hiệu trưởng (trường đại học...); người quản lý (công viên...); tổng đốc, thống đốc.
warden	(danh từ) người coi nơi cấm săn bắn.
warden	(danh từ) (từ cổ, nghĩa cổ) người gác, người trông nom.
wardenship	(danh từ) trách nhiệm canh phòng.
wardenship	(danh từ) trách nhiệm của người giám đốc; trách nhiệm quản lý.
wardenship	(danh từ) chức giám đốc; chức quản lý.
warder	(danh từ) cai ngục.
warding	(danh từ) sự canh giữ; sự tuần tra.
warding	(danh từ) đội cảnh vệ; đội tuần tra.
warding	(danh từ) khe răng (chìa khoá).
wardress	(danh từ) bà cai ngục.
wardrobe	(danh từ) tủ quần áo.
wardrobe	(danh từ) quần áo.
wardrobe dealer	(danh từ) người bán quần áo cũ.
wardrobe master	(danh từ) người giữ trang phục của diễn viên ở một nhà hát.
wardrobe mistress	(danh từ) người phụ trách quần áo của diễn viên.
wardrobe trunk	(danh từ) hòm to, rương (để đứng thành tủ quần áo).
wardroom	(danh từ) chỗ trên một tàu chiến, nơi tất cả các sự quan có phận sự, ăn và ở; trừ sự quan chỉ huy, phòng ăn ở tập thể.
wards	(hậu tố) như ward.
wardship	(danh từ) sự bảo trợ.
ware	(danh từ) đồ, vật chế tạo.
ware	(danh từ) (số nhiều) hàng hoá.
ware	(tính từ) (thơ ca) (như) aware.
ware	(ngoại động từ) (lời mệnh lệnh) chú ý!, coi chừng!.
warehouse	(danh từ) kho hàng.
warehouse	(danh từ) (từ cổ, nghĩa cổ) cửa hàng.
warehouse	(ngoại động từ) cất vào kho, xếp vào kho.
warehouse-keeper	(danh từ) người thủ kho; người quản lý kho.
warehouseman	(danh từ) người nhận hàng gửi kho; người giữ kho.
warehousing	(danh từ) sự xếp hàng vào kho.
wareless	(tính từ) (từ cổ, nghĩa cổ) không cẩn thận; không thận trọng; cẩu thả.
wareless	(tính từ) (+ of) không biết đến.
warfare	(danh từ) (quân sự) chiến tranh.
warhead	(danh từ) đầu nổ của một tên lửa hay ngư lôi.
warily	(phó từ) thận trọng, cảnh giác, đề phòng (nguy hiểm, khó khăn có thể xảy ra).
wariness	(danh từ) sự thận trọng; tính cẩn thận, tính cảnh giác.
warlike	(tính từ) (thuộc) chiến tranh.
warlike	(tính từ) hùng dũng, thiện chiến.
warlike	(tính từ) hiếu chiến.
warlock	(danh từ) (từ cổ) thầy phù thủy.
warm	(tính từ) ấm; làm cho ấm.
warm	(tính từ) (hội họa) ấm (màu sắc).
warm	(tính từ) (thể dục, thể thao) còn nồng, chưa bay hết; còn mới, còn rõ (hơi, dấu vết của những con thú).
warm	(tính từ) sôi nổi, nhiệt tình, nhiệt liệt.
warm	(tính từ) niềm nở, nồng hậu.
warm	(tính từ) nguy hiểm; hiểm yếu (vị trí, địa điểm).
warm	(tính từ) phong lưu (sống).
warm	(tính từ) quen việc, ấm chỗ (công chức).
warm	(tính từ) (thông tục) sắp tìm thấy, gần đúng (trò chơi trẻ con).
warm	(tính từ) (từ mỹ, nghĩa mỹ), (từ lóng) (như) warm words.
warm	(tính từ) lời nói nặng.
warm	(tính từ) công việc gay go nguy hiểm; cuộc xung đột gay go nguy hiểm.
warm	(tính từ) làm mếch lòng ai, làm ai tự ái.
warm	(danh từ) vật ấm, vật làm ấm (áo...).
warm	(danh từ) sự sưởi ấm, sự làm cho nóng người.
warm	(ngoại động từ) làm cho nóng, hâm nóng, làm cho ấm.
warm	(ngoại động từ) (nghĩa bóng) làm tức giận, trêu tức.
warm	(ngoại động từ) (nghĩa bóng) kích thích, làm sôi nổi, làm cho ấm (lòng...).
warm	(ngoại động từ) đánh, quất, vụt.
warm	(nội động từ) sưởi ấm.
warm	(nội động từ) nổi nóng, phát cáu, phát tức.
warm	(nội động từ) sổi nổi lên.
warm	(nội động từ) có thiện cảm với, mến (ai).
warm	(nội động từ) làm cho nóng, làm cho ấm; hâm.
warm	(nội động từ) (thể dục, thể thao) khởi động cho nóng người.
warm	(nội động từ) trở nên nồng nhiệt, trở nên sôi nổi.
warm-blooded	(tính từ) (động vật học) có máu nóng.
warm-blooded	(tính từ) hay giận, nóng nảy (người).
warm-blooded	(tính từ) nhiệt tình, sôi nổi.
warm-blooded	(tính từ) đa cảm (người).
warm-hearted	(tính từ) nhiệt tâm, nhiệt tình; tốt bụng.
warm-heartedness	(danh từ) sự nhiệt tình; sự tốt bụng.
warm-up	(danh từ) (thể dục, thể thao) sự khởi động (trước cuộc đấu).
warmer	(danh từ) lồng ấp.
warming	(danh từ) sự làm ấm, sự hâm, sự hơ, sự sưởi ấm.
warming	(danh từ) (từ lóng) trận đòn, trận roi.
warming	(tính từ) làm cho ấm; ấm.
warming-down	(danh từ) (thể thao) động tác điều hoà.
warming-pan	(danh từ) lồng ấp.
warming-pan	(danh từ) (nghĩa bóng) người tạm quyền (tạm giữ một chức vị nào cho ai còn nhỏ tuổi).
warming-up	(danh từ) (thể dục, thể thao) sự khởi động (trước cuộc đấu).
warmish	(tính từ) hơi ấm.
warmly	(phó từ) một cách ấm áp.
warmness	(danh từ) trạng thái ấm; sự ấm áp.
warmonger	(danh từ) kẻ hiếu chiến, kẻ gây chiến.
warmth	(danh từ) hơi nóng (lửa, mặt trời), nhiệt; sự ấm áp.
warmth	(danh từ) nhiệt tình, tính sôi nổi.
warmth	(danh từ) sự niềm nở, sự nồng hậu.
warmth	(danh từ) tính nóng nảy.
warn	(ngoại động từ) báo cho biết.
warn	(ngoại động từ) cảnh cáo, răn.
warner	(danh từ) (kỹ thuật) máy báo.
warning	(danh từ) sự báo trước; lời báo trước; dấu hiệu báo trước.
warning	(danh từ) lời cảnh cáo, lời răn.
warning	(danh từ) sự báo cho thôi việc; sự báo nghỉ việc.
warning	(danh từ) đề phòng, dè chừng, cảnh giác.
warning	(danh từ) lấy làm bài học, lấy làm điều răn.
warning	(danh từ) làm theo lời răn, làm theo lời cảnh cáo.
warning-bell	(danh từ) tiếng (hồi) chuông báo động.
warning-bell	(danh từ) chuông cấp báo.
warning-gun	(danh từ) (hàng hải) pháo bắn tín hiệu; pháo lệnh.
warning-piece	(danh từ) xem warning-gun.
warp	(danh từ) (nghành dệt) sợi dọc.
warp	(danh từ) (hàng hải) dây kéo thuyền.
warp	(danh từ) đất bồi, đất phù sa.
warp	(danh từ) (kỹ thuật) trạng thái oằn, trạng thái vênh (của thanh sắt, tấm ván...).
warp	(danh từ) (nghĩa bóng) sự sai lạc, sự suy đốn, sự sa đoạ tinh thần.
warp	(ngoại động từ) (kỹ thuật) làm cong, làm oằn (thanh sắt, tấm ván), làm vênh (bánh xe).
warp	(ngoại động từ) (hàng hải) kéo (thuyền).
warp	(ngoại động từ) bồi đất phù sa (cho ruộng).
warp	(ngoại động từ) làm sai lạc, làm thiên lệch, làm sa đoạ, làm suy đốn (tinh thần).
warp	(nội động từ) cong, oằn, vênh.
warp	(nội động từ) (hàng hải) được kéo.
warped	(tính từ) bị biến dạng; bị bẻ cong.
warped	(tính từ) bị xuyên tạc; bị bóp méo.
warragal	(anh từ) xem warrigal.
warrant	(danh từ) (kinh tế học) sự đảm bảo.
warrant	(danh từ) sự cho phép; giấy phép.
warrant	(danh từ) lý do, lý do xác đáng (của việc làm, báo cáo...).
warrant	(danh từ) sự bảo đảm (cho việc gì).
warrant	(danh từ) lệnh, trát.
warrant	(danh từ) (thương mại) giấy chứng nhận.
warrant	(danh từ) (tài chính) lệnh (trả tiền).
warrant	(danh từ) (quân sự) bằng phong chuẩn uý.
warrant	(ngoại động từ) biện hộ cho.
warrant	(ngoại động từ) đảm bảo, chứng thực.
warrant	(ngoại động từ) cho quyền.
warrant-officer	(danh từ) (quân sự) chuẩn uý; ông quản.
warrantable	(tính từ) có lý do, có lý do xác đáng.
warrantable	(tính từ) đến tuổi săn được (hươu năm, sáu tuổi).
warranted rate of growth	(danh từ) (kinh tế học) tốc độ tăng trưởng đảm bảo.
warranted unemployment rate	(danh từ) (kinh tế học) tỷ lệ thất nghiệp đảm bảo.
warrantee	(danh từ) người được sự bảo đảm.
warranter	(danh từ) (pháp lý) người đứng bảo đảm.
warrantor	(danh từ) (pháp lý) người đứng bảo đảm.
warranty	(danh từ) sự cho phép; sự được phép, quyền (được làm việc gì).
warranty	(danh từ) (pháp lý) sự bảo đảm (hàng hoá đúng quy cách...).
warren	(danh từ) nơi có nhiều thỏ.
warren	(danh từ) đông như kiến.
warrener	(danh từ) người trông coi chuồng thỏ; người nuôi thỏ.
warrener	(danh từ) (từ cổ, nghĩa cổ) người trông coi rừng cấm.
warrigal	(danh từ) chó đinh gô; chó rừng (úc).
warrigal	(danh từ) (nghĩa bóng) người man rợ (thổ dân).
warrigal	(danh từ) ngựa rừng ở úc.
warrigal	(tính từ) hoang dại; mọi rợ.
warring	(tính từ) đang đánh nhau; đang có chiến tranh.
warring	(tính từ) mâu thuẩn; xung khắc.
warrior	(danh từ) quân nhân, chiến sĩ; (thơ ca) chính phủ.
warrior-steed	(danh từ) (thơ ca) chiến mã.
warship	(danh từ) tàu chiến.
wart	(danh từ) (y học) hột cơm, mụn cóc.
wart	(danh từ) bướu cây.
wart-hog	(danh từ) lợn lòi (lợn rừng châu phi có hai răng nanh to và bướu trên mặt).
warted	(tính từ) (y học) có mụn cơm.
wartime	(danh từ) thời chiến (thời kỳ xảy ra một cuộc chiến tranh).
wartime	(danh từ) special regulations were introduced in wartime.
wartime	(danh từ) anh từhững quy định đặc biệt đã được đưa ra trong thời chiến.
warty	(tính từ) giống mụn cơm.
warty	(tính từ) có nhiều mụn cơm.
wary	(tính từ) thận trọng, cẩn thận, cảnh giác.
was	(nội động từ & trợ động từ) thì, là.
was	(nội động từ & trợ động từ) có, tồn tại, ở, sống.
was	(nội động từ & trợ động từ) trở nên, trở thành.
was	(nội động từ & trợ động từ) xảy ra, diễn ra.
was	(nội động từ & trợ động từ) giá.
was	(nội động từ & trợ động từ) be to phải, định, sẽ.
was	(nội động từ & trợ động từ) (+ động tính từ hiện tại) đang.
was	(nội động từ & trợ động từ) (+ động tính từ quá khứ) bị, được.
was	(nội động từ & trợ động từ) đã đi, đã đến.
was	(nội động từ & trợ động từ) chống lại.
was	(nội động từ & trợ động từ) tán thành, đứng về phía.
wash	(danh từ) sự tắm rửa, sự tắm gội, sự rửa ráy.
wash	(danh từ) sự rửa (vật gì).
wash	(danh từ) sự giặt, sự giặt giũ; quần áo giặt; nơi giặt.
wash	(danh từ) nước rửa, nước gội.
wash	(danh từ) nước rửa bát, nước vo gạo.
wash	(danh từ) nước lã, nước ốc.
wash	(danh từ) lớp tráng, lớp thiếp (trên mặt kim loại); nước vôi (quét tường).
wash	(danh từ) (địa lý, địa chất) phù sa, đất bồi.
wash	(danh từ) (hội họa) lớp màu nước (trên mặt bức hoạ).
wash	(danh từ) (hàng hải) sóng; tiếng sóng.
wash	(ngoại động từ) rửa.
wash	(ngoại động từ) giặt.
wash	(ngoại động từ) chảy, chảy sát gần, vỗ vào.
wash	(ngoại động từ) cuốn đi, giạt vào.
wash	(ngoại động từ) khoét, nạo.
wash	(ngoại động từ) thấm đẫm, làm ướt.
wash	(ngoại động từ) thiếp vàng (một kim loại); quét vôi, quét sơn (tường).
wash	(ngoại động từ) (hội họa) tô màu nước (lên bức hoạ).
wash	(ngoại động từ) (kỹ thuật) đãi (quặng).
wash	(nội động từ) rửa ráy, tắm rửa, tắm gội.
