pa-tê	(dtừ) terrine.
phát lân quang	(ttừ) phosphorescent.
phát lệnh	() to issue an order.
phát lương	() to hand out the wages.
phát lương	() to pay.
phát lưu	() xem phát vãng.
phát mau chóng	(ttừ) fulminant.
phát mại	() to sell by order of the court.
phát mệt	() to tire oneself out.
phát mệt	() to wear oneself out.
phát minh	() to invent.
phát minh	() invention.
phát minh hão huyền	(dtừ) mare's nest.
phát minh làm sáng tỏ	(dtừ) light.
phát minh ra	(thngữ) to find out.
phát minh tạo thành	(ngđtừ) originate.
phát ngân	() pay out.
phát ngân viên	() payer.
phát ngân viên	() teller.
phát ngấy	() pall.
phát ngấy	() cloy.
phát ngôn	() to speak.
phát ngôn	() to express oneself.
phát ngôn	() to verbalize.
phát ngôn nhân	() xem người phát ngôn.
phát nguyên	() spring, orginate, (of river) rise.
phát nguyện	() to take/swear an oath.
phát ngũ sắc	(dtừ) iridescence.
phát ngũ sắc	(ttừ) iridescent.
phát ngượng	() to feel ashamed.
phát nhiệt	() (hóa học) exothermal, exothermic.
phát nhiệt	() (vật lý) calorific.
phát nhiệt lực	() calorie value.
phát nhiệt xạ	() thermionic emission.
phát nóng	() get feverish.
phát nóng	() get angry.
phát nóng	() become hot.
phát nổ	() explode.
phát nộ	() get angry, become angry.
phát nộn	() get fat.
phát nương	() burn off (to clear land).
phát ói	() sickeningly.
phát ói	() nauseatingly.
phát ốm	() xem phát bệnh.
phát phẫn	() be indignant (at something, with somebody), be filled with indignation (at something, at somebody), be exasperated (by something, by somebody).
phát phiếu	() draw (a check).
phát phiền	() be vexed/annoyed (by somebody).
phát phì	() put on excessive weight.
phát phì	() grow fat/plump.
phát phóng	() set free, release.
phát phù	() come down with beriberi, develop disease.
phát quang	() (vật lý) luminesce.
phát quang	() clearance (e) radiate.
phát quang	() eradiation.
phát quật	() dig up, unearth, (buried treasure, etc) exhume, disinter (corpse).
phát ra	() send (a message).
phát ra âm	(ttừ) soniferous.
phát ra một ánh lập lòe	(nđtừ) gleam.
phát ra phóng xạ	(nđtừ) activate.
phát ra tiếng	(ttừ) sonorific, soniferous.
phát ra tiếng bíp bíp	(đtừ) beep.
phát ra tiếng bíp bíp	(nđtừ) bleep.
phát ra tiếng bình bịch	(nđtừ) chug.
phát ra tiếng động chói tai	(nđtừ) jar.
phát ra tiếng lách cách	(đtừ) clatter.
phát ra tín hiệu cho ai	(đtừ) cue.
phát ra từ	(nđtừ) proceed.
phát ra từng luồng nhẹ	(đtừ) whiff.
phát rắm	(dtừ) fart.
phát rẫy	() clear (moutain area...) of trees for cultivation.
phát sáng	() (sinh vật) photogenic.
phát sầu	() be sad.
phát sầu	() grieve.
phát sinh	() to arise.
phát sinh bào tử	(dtừ) sporogenesis.
phát sinh bệnh	(dtừ) pathogenesis.
phát sinh cá thể	(dtừ) ontogeny.
phát sinh cơ quan	(dtừ) organogenesis.
phát sinh diễn lại	(dtừ) palingenesis.
phát sinh do	(nđtừ) arise.
phát sinh định hướng	(dtừ) orthogenesis.
phát sinh lại	(dtừ) recurrence, recrudescense.
phát sinh lại	(nđtừ) recrudesce.
phát sinh lại	(ttừ) recrudescent.
phát sinh loài	(dtừ) phylogenesis, phylogeny.
phát sinh loài	(ttừ) phylogenetic.
phát sinh lục địa	(dtừ) epeirogenesis.
phát sinh mô	(dtừ) histogenesis.
phát sinh mô	(ttừ) histogenetic.
phát sinh nhiều nguồn	(dtừ) polygenesis.
phát sinh phôi	(dtừ) embryogenesis.
phát sinh ra	(dtừ) generation.
phát sinh ra	(ngđtừ) breed.
phát sinh ra từ	(thngữ) to grow out (of).
phát sinh thẳng	(dtừ) orthogenesis.
phát sinh thực vật	(dtừ) phytogenesis.
phát sinh tự nhiên	(dtừ) abiogenesis.
phát sinh tự nhiên	(phó từ) abiogenetically.
phát sinh tự nhiên	(ttừ) abiogenetic.
phát sóng	() to broadcast.
phát sốt	() to have/run a temperature.
phát sốt	() to have a fever.
phát súng	() gunshot.
phát súng bắn khi rút lui	(thngữ) parthian shot (shaft, arrow).
phát súng bắn không cần ngắm	(dtừ) snap shot.
phát súng bắn phía tay phải	(dtừ) right.
phát súng bắn vảy	(dtừ) snap shot.
phát súng kết liễu	(dtừ) coup de grậce.
phát súng lục	(dtừ) pistol-shot.
phát súng tịt	(dtừ) misfire.
phát súng trường	(dtừ) rifle-shot.
phát tang	() hold a mouring-wearing ceremony.
phát tang	() wear mourning clother.
phát tán	() xem phát hãn.
phát tán	() dispersion.
phát tán	() induce sweating, act as a sudatory substance.
phát tán	() scatter (nói về hạt của cây).
phát tài	() to get/grow rich.
phát tài	() to prosper.
phát thanh	() to broadcast.
phát thanh	() to radiobroadcast.
phát thanh bản tin ở đài	(dtừ) newscasting.
phát thanh bằng rađiô	(đtừ) radio.
phát thanh dây chuyền	(dtừ) chain broadcasting.
phát thanh lại	(ngđtừ) rebroadcast.
phát thanh theo chương trình đã ghi lại	(ngđtừ) transcribe.
phát thanh viên	() xem xướng ngôn viên.
phát thành tiếng	(ngđtừ) form.
phát thệ	() to take/swear an oath.
phát thủy	() to begin, beginning.
phát tia	() radiating.
phát tiêm	(dtừ) injection.
phát tiết	() come out, appear, apparent.
phát tiết	() (of liquid) exude.
phát tiết	() leak, ooze, seep, (fig) manifest itself, be expressed/evinced/manifested, show,.
phát tiết	() display.
phát tích	() rise up originally.
phát tích	() come (from), be descended (from), descend (from), come (of), originate.
phát tình	() xem phát dục.
phát tởm	() nauseating.
phát tởm	() sickening.
phát tởm	() repulsive.
phát triển	() to develop.
phát triển	() to grow.
phát triển	() to expand.
phát triển	() development.
phát triển cá thể	(dtừ) ontogenesis.
phát triển cá thể	(ttừ) ontogenetic.
phát triển cân đối	(ttừ) well-made.
phát triển chưa đầy đủ	(ttừ) underdeveloped.
phát triển cơ thể	(dtừ) physiogeny.
phát triển cuối cùng	(dtừ) omega.
phát triển dần lên	(dtừ) accretion.
phát triển dần lên	(ttừ) accretive.
phát triển dần lên quanh một hạt nhân	(nđtừ) accrete.
phát triển hơn hẳn một bên người	(dtừ) laterality.
phát triển không bình thường	(ttừ) excrescent.
phát triển không đầy đủ	(dtừ) abortion.
phát triển không ngừng	(dtừ) progressiveness.
phát triển không ngừng	(ttừ) progressive.
phát triển mạnh	(dtừ) thriving.
phát triển mạnh	(nđtừ) thrive.
phát triển mạnh	(ttừ) full-blown, thriving.
phát triển năng khiếu bản thân	(dtừ) self-realization.
phát triển nhanh	(dtừ) mushroom.
phát triển nhanh hơn	(ngđtừ) outgrow.
phát triển ồ ạt và nhanh chóng	(dtừ) explosion.
phát triển rộng	(ttừ) prolate.
phát triển thành dòng vô tính	(đtừ) clone.
phát triển từng bước	(dtừ) gradation.
phát tức	() to grow angry.
phát tức	() to fly into a temper.
phát vào đít	(dtừ) spank, spanking.
phát vãng	() to banish.
phát vãng	() to exile.
phát vãng	() to deport.
phát vấn	() (phương_pháp phát vấn) maieutic method.
phát xạ	() cradiate.
phát xạ	() radiation.
phát xạ	() emanation.
phát xạ điện tử	() electron emission.
phát xạ nhiệt	() thermionic emission.
phát xít	() fascist.
phát xít hóa	(dtừ) fascisization.
phát xít hóa	(ngđtừ) fascisize.
phát xuất	() xem xuất phát.
phát xuất	() originate, spring.
phà	(dtừ) ferry-boat.
phà	(đtừ) to reek, to breathe, to erhale.
phà biển	(dtừ) car-ferry.
phà bộ binh	() infantry raft.
phà chở xe lửa	() car ferry, train ferry.
phà chuyên	() ferry boat.
phà dây	() trail ferry.
phà đổ bộ	() landing barge.
phà máy	() ferry boat.
phà phao	() ponton ferry.
phà trôi	() flying ferry.
phà xe lửa	(dtừ) train-ferry.
phà xuồng	() ponton ferry.
phàm	() coarse, philistine.
phàm	() as, being.
phàm	() common place.
phàm	() vulgar.
phàm	() hack-neyed.
phàm	() trite.
phàm	() banal.
phàm	() ill-mannered.
phàm	() rude.
phàm	() each time, whenever.
phàm ăn	() như tham ăn.
phàm dân	() common people.
phàm lệ	() introduction, foreword, preface.
phàm nhân	() (ít dùng) the common people.
phàm nhân	() average people.
phàm nhân	() commoner, plebcian.
phàm phu	(dtừ) vulgar person, ordinary nan.
phàm phu	(dtừ) mediocrity.
phàm trần	() this human world.
phàm tục	(ttừ) commonplace, phillistine.
phàm tục	(ttừ) earthly.
phàm tục	(ttừ) the average manycitizen.
phàm tục	(ttừ) the man in the street.
phàm tục	(ttừ) philistine.
phàm tục	(ttừ) rude.
phàm tục	(ttừ) gross.
phàn nàn	() to complain.
phàn nàn về	(ngđtừ) deplore.
phành phạch	() noisily.
phào	() (gió thổi phào) the wind blows softly.
phả	() reek, breath.
phả hệ	() genealogy.
phả hệ	() family tree.
phả hệ học	() (cũng nói phổ hệ học) genealogy.
phải	() right.
phải	() all right, true.
phải	() right, right-hand.
phải	() just go home.
phải	() probably, very likelly, must.
phải	() must, should.
phải	() to be given to be affected by.
phải	() undergo, suffer, be subject (to), catch.
phải	() obliged.
phải	() yes.
phải án	() undergo one's sentence.
phải bả	() (bóng) fall victim to somebody's charms.
phải bả	() be poisoned.
phải bả	() be madly in love (with).
phải bệnh	() fall ill.
phải biết	() mighty.
phải biết	() very, very much.
phải bị trừng phạt	(thngữ) to be for it.
phải bỏng	() be burnt.
phải bùa	() victim of a philter.
phải cách	(ttừ) proper, decent.
phải cách	(ttừ) victim of a philter.
phải cái	() (informal) the only drawback is.
phải cầu đến	(thngữ) to fall back on (upon).
phải chăng	(ttừ) right and wrong. reasonable, sensible.
phải chăng hơn với ai/cái gì	(thngữ) ease up on sb/sth.
phải chi	() if.
phải chi	() if only.
phải chịu	(dtừ) chargeableness, chargeability.
phải chịu	(ttừ) chargeable, subject, amenable.
phải chịu hoàn cảnh bắt buộc	(thngữ) to bow to necessity.
phải chịu phí tổn	(dtừ) chargeableness, chargeability.
phải chịu phí tổn	(ttừ) chargeable.
phải chờ đợi lâu	(thngữ) to dance attendance upon somebody.
phải có nhiệm vụ	(ngđtừ) behoove.
phải dùng cả gót lẫn đầu ngón chân	(ttừ) heel-and-toe.
phải dùng đến	(thngữ) to fall back on (upon).
phải đạo	() correctly.
phải đạo	() properly.
phải đạo	() reasonably.
phải để nhiều tâm trí vào	(ttừ) engrossing.
phải đóng thuế quan	(ttừ) customable.
phải đóng thuế thập phân	(ttừ) tithable.
phải đòn	() get (be given) the cane, be whipped.
phải đòn	() get a beating, get a spanking.
phải đối phó với mọi vấn đề	(thngữ) to put to it.
phải đúa	() (thông_tục) have taken a leaf from the book of, walk in the shoes of.
phải đũa	() (thông tục) have taken a leaf from the book of, walk in the shoes of.
phải đũa	() follow the bad example of somebody.
phải đương đầu với mọi vấn đề	(thngữ) to put to it.
phải đường	() reasonable, sensible.
phải đường	() have the right of way.
phải gái	() (thông tục) be spoony upon a girl.
phải gái	() be madly in love with a girl, lose one's heart (to).
phải gánh vác lấy một mình	(thngữ) on one's own hook.
phải giao	(thngữ) to yield sb.
phải giá	() at a reasonable price.
phải giải quyết một việc khó khăn	(thngữ) to bite off a big chunk.
phải gió	() to faint from a cold.
phải gió	() how naughty of you!.
phải gió	() damn you!.
phải gió	() xem chết tiệt.
phải giờ	() be born at an inauspicious hour.
phải giờ	() die at an inauspicious hour.
phải hết sức	() must make every effort.
phải hiểu ngược lại	(thngữ) over the left.
phải hiểu trái lại	(thngữ) over the left.
phải khi	() at an unlucky moment of.
phải khi	() get into.
phải khi	() come across.
phải khi	() it appears that.
phải không	() do...?.
phải không	() does he/she?.
phải không	() don't...?.
phải không	() doesn't he/she?.
phải không	() did...?.
phải không	() didn't...?.
phải không	() can...?.
phải không	() can't...?.
phải không	() are...?.
phải không	() aren't...?.
phải không	() is he/she?.
phải không	() was he/she?.
phải kiện	(ttừ) contentious.
phải làm do hoàn cảnh bắt buộc	(thngữ) to bow to necessity.
phải làm trăm công nghìn việc	(thngữ) to have a hundred and one thing to do.
phải làm việc quá nhiều	(ttừ) overwrought.
phải làm việc quá sức	(ttừ) jaded, overtoiled.
phải lại	() have (suffer) a relapse.
phải lấy tiền túi ra mà chi	(thngữ) to pay out of one's pocket.
phải lẽ	(ttừ) sencible, rightteous.
phải lẽ	(ttừ) reasonable, judicious, wise.
phải lòng	() to be in love with somebody.
phải lòng	() to fall in love with somebody.
phải lòng	() to lose one's heart to somebody.
phải lòng ai	(thngữ) to be gone on somebody.
phải lối	(ttừ) correct.
phải lời	() know what to say.
phải lúc	(dtừ) opportuneness.
phải lúc	(ttừ) opportune.
phải lứa	() well-matched.
phải mặt	() corresponding (to).
phải mặt	() conformable (to).
phải mổ để chữa bệnh điên	(thngữ) to be cut for the simples.
phải một bận	(thngữ) once bitten, twice shy.
phải một bận	(phai mot ban cach den gia,tục ngữ) once bitten, twice shy.
phải một bận	(phai mot ban cach den gia,tục ngữ) a burnt child dreads the fire.
phải ngủ đêm ngoài đường	(thngữ) to have (get) the key of the street.
phải người	() medium build.
phải nhai nhiều	(ttừ) chewy.
phải nhận lỗi	(thngữ) to eat humble pie.
phải như	() xem phải chi.
phải nộp cống	(ttừ) tributary.
phải nộp thuế	(ttừ) tollable.
phải nộp tiền	(ttừ) pecuniary.
phải nuôi nấng	(dtừ) chargeableness, chargeability.
phải nuôi nấng	(ttừ) chargeable.
phải ở nhà không bước chân ra cửa	(thngữ) to keep the house.
phải phép	() conform to the rule of conduct.
phải phép	() legal, legitimate.
phải phép	() proper.
phải qua một thử thách gay go	(thngữ) to come to bat.
phải quấy	() xem phải trái.
phải rồi	() quite right, that is it.
phải rồi	() yes!, exactly, precisely.
phải rời khỏi nhà vì lụt lội	(thngữ) to be flooded out.
phải tay	() fall into somebody's hands.
phải tay tôi	() if it were me....
phải thức đêm thức hôm để làm	(thngữ) to smell of the lamp.
phải tội	() get into trouble, suffer for in retribution.
phải tội	() don't do any evil, otherwise you will suffer for it in retribution.
phải tội	() why should.
phải trái	() right and wrong.
phải trả	(dtừ) due.
phải trả	(ttừ) payable.
phải trả bằng giá	(thngữ) at the cost of....
phải trả lại	(ttừ) revertible, reversible.
phải trả một giá cắt cổ	(thngữ) to pay through the nose.
phải triều cống	(ttừ) tributary.
phải va chạm với những khó khăn	(thngữ) to be hard up against it.
phải va chạm với những khó khăn	(thngữ) to have it hard.
phải vạ	() be fined.
phải vạ	() get into trouble.
phải vạ	() come to grief.
phải vạ	() take the trouble to do something.
phải xin lỗi	(thngữ) to eat humble pie.
phải ỷ lại vào người khác	(thngữ) to be in leading-strings.
phản	() a low flat platform for sitting or sleeping.
phản	() trestle-bed.
phản	() wooden bed.
phản	() camp bed.
phản	() anti.
phản	() plank bed, camp-bed.
phản	() betray.
phản	() disloyal.
phản	() treachery.
phản	() betrayal, perfidy.
phản án	() appeal against the decision of the court.
phản ánh	(dtừ) reglect, reflection, recount, tell ingorm, rever-beration.
phản ánh luận	() theory of reflection.
phản ảnh	() depict, picture, portary, represent, paint, express.
phản ảnh	() report.
