ha	() exclamation of joy.
hay vào bừa	(dtừ) intrusiveness.
hay ve vãn	(ttừ) flirtish.
hay vi phạm	(ttừ) unobservant.
hay viết ra ngoài đề	(ttừ) excursive.
hay viết thư	(ttừ) epistolarian.
hay vui đùa	(ttừ) pleasant, playful.
hay xài phí	(dtừ) lavishness.
hay xảy ra	(ttừ) frequent.
hay xâm phạm	(dtừ) intrusiveness.
hay xấu hổ	(dtừ) shamefacedness.
hay xen vào việc của người khác	(dtừ) meddlesomeness.
hay xen vào việc của người khác	(ttừ) meddlesome.
hay yêu đương lăng nhăng	(ttừ) flirtatious.
hay yêu sách	(ttừ) exigent.
há	(đtừ) to open wide.
há dám	() how dare (we).
há dễ	() not at all easy.
há hốc	() to gape.
há hốc	() to open wide one's mouth.
há hốc miệng ngạc nhiên	(dtừ) gape.
há hốc miệng ra	(thngữ) to give a gasp.
há hốc miệng ra mà nhìn	(dtừ) gape, gape-seed.
há hốc miệng ra mà nhìn	(nđtừ) gape.
há hốc mồm	(thngữ) one's jaw drops.
há hốc mồm	(ttừ) open-mouthed.
há hốc mồm ra	(ttừ, phó từ) agape.
há miệng	() to open one's mouth.
há miệng ra	(dtừ) rictus.
há mỏ ra	(dtừ) rictus.
há mồm	() to open one's mouth.
há nỡ	() not to be so hearless as.
há rộng miệng	(dtừ) gape.
há to miệng ra	(nđtừ) gape.
hách	(ttừ) authoritarian authoritative.
hách dịch	() bossy.
hách dịch	() imperious.
hách dịch	() magisterial.
hách dịch	() high-handed.
hách dịch	() authoritative.
hách dịch	() overbearing.
hách dịch	() domineering.
hách dịch	() lordly.
hách dịch	() masterful.
hái	() to pluck.
hái	() to gather.
hái	() to pick.
hái búp chè	() pick tender tea leaves.
hái chè	() pick tea leaves.
hái dâu	() pick mulbery leaves, pick strawberries.
hái hớt cỏ	(dtừ) scythe.
hái hublông	(nđtừ) hop.
hái lộc	() pick buds or young leaves.
hái nho	(dtừ) vintage.
hái quả	() pick fruit.
hái quả mọng	(nđtừ) berry.
hái ra tiền	(thngữ) to coin money.
hái thuốc	() gather simples.
hái về	(dtừ) ingathering.
hái về	(đtừ) ingather.
hám	() eager/thirsty/greedy for something.
hám danh	() greedy for fame/glory.
hám danh lợi	(dtừ) greed.
hám gái	() xem háo sắc.
hám lợi	() eager/greedy for gain.
hám lợi	() mercantile.
hám quyền	() megalomaniac.
hám quyền	() greedy for power.
hán	((từ-nghĩa cổ) old-fashioned shoes) han (chinese dynasty founded by liu bang).
hán	((từ-nghĩa cổ) old-fashioned shoes) cũng tây hán earlier han.
hán	((từ-nghĩa cổ) old-fashioned shoes) western han (206 bc-ad 8) .
hán	((từ-nghĩa cổ) old-fashioned shoes) cũng đông hán later han.
hán	((từ-nghĩa cổ) old-fashioned shoes) eastern han (25-220).
hán	((từ-nghĩa cổ) old-fashioned shoes) han (the term to differentiate the ethnic chinese from other groups within china).
hán học	() chinese studies.
hán học	() sinology.
hán tự	() chinese characters.
hán văn	() chinese literature.
háng	(dtừ) groin.
háo	(ttừ) eager.
háo	(ttừ) greedy.
háo hức	() eager.
háo hức	() avid.
háo khí	() (sinh_học) aerobic.
háo sắc	() eager for feminine beauty.
háo sắc	() philogynist.
háo thắng	() hungry/eager for success.
hát	() to sing.
hát ả đào	() go to a geisha house.
hát bài hát tang	(nđtừ) keen.
hát bài hát tang mà than khóc	(ngđtừ) keen.
hát bè	() to sing in parts.
hát bóng	() cinema, movies, moving pictures.
hát bộ	() xem hát tuồng.
hát bội	() xem hát tuồng.
hát cải lương	() modern theatre, modernized theatre.
hát chèo	() vietnamese popular opera.
hát chèo đò	() ferry song (imitating rowing rythm).
hát cô đầu	() go to a vietnamese geisha house.
hát dạo	(đtừ) give.
hát dặm	() folk song.
hát du dương	(đtừ) lilt.
hát dúm	() song simultancously exchanged between several persons.
hát đều đều	(ngđtừ) monotone.
hát đối	(ttừ) antiphonal.
hát đổi giọng trầm sang giọng kim	(dtừ) yodel.
hát đổi giọng trầm sang giọng kim	(đtừ) yodel.
hát ghẹo	() love song.
hát hay hơn	(ngđtừ) outsing.
hát hò	() sing.
hát hỏng	() sing (usuatly badly).
hát hỏng cả ngày	() sing and make merry all day.
hát khúc nhạc chiều	(ngđtừ) serenade.
hát lại	(thán từ) encore.
hát luyến	(ngđtừ) slur.
hát mưỡu	() a type of vietnamese singing.
hát mừng	(đtừ) carol.
hát ngâm nga nho nhỏ	(đtừ) croon.
hát ngân vang	(ngđtừ) roll.
hát nghe thử	(dtừ) audition.
hát nhịp nhàng	(đtừ) lilt.
hát nhịu	(dtừ) slur.
hát nhịu	(ngđtừ) slur.
hát nhịu	(nđtừ) slur.
hát những bài hát ca tụng	(dtừ) hymnody.
hát nói	() writers often used hát nói - a very popular form in ca trù - when eclaiming poems hát nói referred to 'singing while speaking' it was required for the song to have the specific rhythm and outline the proper song included 11 sentences inserted with 2-4 verses having 5-7 words each in style of đường poetry the last sentence was called the summary sentence with 6 words in six-eight style.
hát quan họ	() duo of love songs.
hát rong	() to travel from place to place so as to sing in public.
hát rong	() to be a troubadour/minstrel/one-man band.
hát ru	() lullaby.
hát tập thể	(thngữ) community singing.
hát thánh ca	(dtừ) psalmody, hymnody.
hát thánh ca	(nđtừ) psalmodize.
hát thánh thót	(dtừ) fluting.
hát thánh thót	(đtừ) flute.
hát the thé	(đtừ) shrill.
hát tiếp nhau	(đtừ) troll.
hát to hơn	(ngđtừ) outsing.
hát trong đám rước	(ttừ) processional.
hát trống quân	() hát trống quân - a type of popular art - referred to alternate ongs with drum accompaniments in the mid-autumn night, youngsters gathered at the communal house (or at the hamlet entrance) and divided themselves into two camps (boys and girls) to make repartees between them this camp asked, and the other replied instead of using the folk-songs or the existing songs, they could improvise the repartees spectators uttered shouts of encouragement for the pleasant and mischievous repartees at their wit's end, they could promise to reply on the next day many people were ready to make repartees between them from night to night.
hát tuồng	() vietnamese opera, classical theatre.
hát tuồng	() như hát bộ, hát bội.
hát vãn	() elegiac song.
hát ví	() kind of song (which country boys and girls sing back and forth).
hát ví dặm	() hát ví dặm referred to 'singing by repartees while working' being n vogue in nghệ an and hà tĩnh, hát ví dặm is closely attached to the working classes the hát ví dặm meetings can last some days and since then, boys and girls will advance to the conjugal relations or make friends with one another.
hát xẩm	() songs of a strolling blind musician.
hát xẩm	() sing like a strolling blind musician.
hát xiệc	(dtừ) circus.
hát xoan	() folk song of phu tho province.
hát xướng	() sing.
háu	() eager/greedy for sth.
háu ăn	() như tham ăn.
háy	(đtừ) to look askance at.
háy	(đtừ) to look black at someone.
háy mắt	() look askance (at), skew (at).
hà	(dtừ) shipworm teredo, borer.
hà	(dtừ) sweet potato weevil.
hà	(dtừ) rive.
hà	(dtừ) give the kiss of life to.
hà-lan	(ttừ) dutch.
hà bá	(dtừ) sea-god.
hà chính	() (từ nghĩa cũ) harsh politics, ruthless politics.
hà cố	() (từ-nghĩa cũ) như hà cố.
hà cớ	() why.
hà hệ	() river system.
hà hiếp	() xem ăn hiếp.
hà hơi	() to blow with a wide-open mouth.
hà hơi	() to give the kiss of life to somebody.
hà hơi	() to give somebody mouth-to-mouth resuscitation.
hà hơi thổi ngạt	(thngữ) the kiss of life.
hà khắc	() harsh.
hà khắc	() draconian.
hà khắc	() severe.
hà khẩu	() (từ nghĩa cũ) river estuary, river muoth.
hà khốc	() harsh, cruel.
hà khốc	() như hà ngược.
hà lan	(thngữ) low countries.
hà lan	(ttừ) netherlandish.
hà lạm	() (từ nghĩa cũ) misappropriate.
hà lưu	() course of a river.
hà mã	(dtừ) hippopotamuscon hà mã.
hà ngạn	() river shore.
hà ngược	() xem hà khốc.
hà pháp	() strict law.
hà răng	() dental decay.
hà tằn hà tiện	() very thrifty.
hà tằng	() (từ nghĩa cũ) never.
hà tất	() what is the use of?, what is the good of?.
hà thủ ô	() multiflorous knootweed.
hà tiện	() miserly.
hà tiện	() stingy.
hà xa	() (từ hà xa nt) placenta.
hài	(dtừ) shoes.
hài	(dtừ) infant.
hài	(dtừ) bones.
hài	(dtừ) remains.
hài âm	() euphonic.
hài cốt	() (mortal) remains.
hài cốt	() ashes.
hài đàm	() (từ nghĩa cũ) hamour.
hài đồng	() (từ nghĩa cũ) infant, baby.
hài hòa	() harmonious.
hài hòa	(ttừ) harmonious.
hài hòa với nhau	(nđtừ) harmonize.
hài hước	(ttừ) như khôi hài.
hài kịch	() comedy.
hài kịch đen	(dtừ) black comedy.
hài lòng	() contented.
hài lòng	() content.
hài lòng	() pleased.
hài lòng	() satisfied.
hài nhạc kịch	(dtừ) musical.
hài nhi	() newborn baby.
hàm	() jaw.
hàm	() xem hàm số.
hàm	() honorary.
hàm ân	() xem mang ơn.
hàm ẩn	() hide.
hàm ẩn	() contain.
hàm ẩn	() (toán học) implicit function.
hàm bị tích	(dtừ) integrand.
hàm chí	() firm will.
hàm dưới	() lower jaw.
hàm dưỡng	() self-control.
hàm đại	() ambiguity.
hàm đại	() ambiguous.
hàm đại sứ	(dtừ) embassy.
hàm đại tá	(dtừ) colonelship.
hàm đô đốc	(dtừ) flag-rank.
hàm ếch	() palate.
hàm ếch	() with a vaulted enntrance (like a frog's jaw).
hàm giả	() set of artificial teeth.
hàm hồ	() vague, not founded on facts, ill-founded.
hàm không liên tục	() discontinuous function.
hàm lượng	() (hóa học) content.
hàm nghĩa	() to involve.
hàm nghĩa	() to imply.
hàm nhô ra	(ttừ) prognathous.
hàm non	() (toán học) minorant.
hàm oan	() xem bị oan.
hàm ơn	() xem mang ơn.
hàm phó đô đốc	(dtừ) flag-rank.
hàm răng	() set of teeth.
hàm răng giả	() dentures.
hàm răng giả	() set of false teeth.
hàm số	() (toán học) function.
hàm số ẩn	() implicit function.
hàm số bậc nhất	() linear function.
hàm số chỉ số	() index function.
hàm số công suất	() power function.
hàm số đại số	() algebraic function.
hàm số điều hòa	() harmonic function.
hàm số đơn trị	() uniform function.
hàm số luận	() function theory.
hàm số lượng giác	() trigonometric function.
hàm số mũ	() exponential function.
hàm số tường minh	() explicit function.
hàm số vô tỷ	() irrational function.
hàm súc	(đtừ) to contain.
hàm súc	(đtừ) to hold.
hàm sư tử	() the jaws of a lioness.
hàm thiếc	() bit.
hàm thiếc ngựa	(dtừ) cannon, cannon-bit.
hàm thiếu tá	(dtừ) majority.
hàm thủy	() salt water.
hàm thụ	() through a correspondence course.
hàm tiếu	() begin to open (nói về nụ hoa).
hàm trên	() upper jaw.
hàm vĩnh viễn	(thngữ) substantive rank.
hàm xúc	(dtừ) pregnancy.
hàm xúc	(phó từ) pregnantly.
hàm ý	() to imply.
hàm ý	() implication.
hàm ý xấu xa	(ttừ) unedifying.
hàn	() cold.
hàn	() poor.
hàn chấm	() spot welding.
hàn điện	() electric weilding.
hàn đới	() frigid.
hàn gắn	() nghĩa bóng to heal.
hàn gắn	() (nghĩa bóng) to repair.
hàn gia	() poor family.
hàn gia	() my house, my family.
hàn giang	() icy river, the milky way.
hàn giậu	() hedge.
hàn hồ quang	() electric arc welder.
hàn hơi	() như hàn xì.
hàn huyên	() cold and warm.
hàn huyên	() (nghĩa bóng) to have a heart-to-heart talk.
hàn huyên	() to exchange confidences.
hàn hữu	() rare, occasional.
hàn khẩu	() stop a breach (in a dyke).
hàn lại	() solder.
hàn lâm	() academic tile (mandarins's tile in the feudal regime)..
hàn lâm	() (viện hàn_lâm) the academy.
hàn lâm viện	() academy.
hàn lộ	() cold dew.
hàn luật	() han thuyen's prosody (of the tran dynasty) (based on the tang's).
hàn mạc	() pen and ink.
hàn mạc	() (nghĩa bóng) literature.
hàn mặc	() (từ nghĩa cũ) belles-lettres.
hàn nhân	() a poor man.
hàn nhiệt	() fever.
hàn nho	() poor confucian scholar.
hàn nữ	() poor girl, needy girl.
hàn ôn	() converse after a long separation, small talk.
hàn phong	() cold wind.
hàn quốc	() south korea (republic of korea).
hàn quốc	() south korean.
hàn sa	() deserted sandbeach.
hàn sĩ	(dtừ) a poor student.
hàn the	(dtừ) borax.
hàn thùng	() solder a metal bucket.
hàn thử biểu	() xem cặp sốt.
hàn thực	() third lunar month's third day's festival.
hàn vi	(ttừ) poor and humble.
hàn xì	() oxyacetylene welding.
hàng	() goods.
hàng	() freight.
hàng	() cargo.
hàng	() goods.
hàng	() wares.
hàng	() products.
hàng	() xem món hàng.
hàng	() line.
hàng	() row.
hàng	() xem quan tài.
hàng	() to yield.
hàng	() to surrender.
hàng angora	(dtừ) angora.
hàng ăn	() restaurant.
hàng bán chạy	() best-selling goods.
hàng bán ế	() unsold/unsalable/unmarketable goods.
hàng bán hạ giá	() xem hàng xon.
hàng bán lạc son	(dtừ) job lot.
hàng bán lẻ	() retail goods.
hàng bán lỗ	(dtừ) sacrifice.
hàng bán rao	() peddled wares.
hàng bán rẻ để quảng cáo	(dtừ) leader.
hàng bán rong	(dtừ) pedlary.
hàng bán rượu lậu	(dtừ) speak-easy.
hàng bán trả tiền ngay	(dtừ) spots.
hàng bày mặt	(đtừ) topper.
hàng binh	() defeatist.
hàng cá	() fish shop.
hàng cây	(dtừ) colonnade, row.
hàng cây chắn gió	(dtừ) wind-break.
hàng cấm	() forbidden goods.
hàng cấm nhập	() prohibited imports.
hàng cấm xuất	() prohibited exports.
hàng cầm cố	() pledged goods.
hàng cha mẹ	(dtừ) parentage, parenthood.
hàng chạm gỗ	() woodcarving.
hàng chấn song bao lơn	(dtừ) balustrade.
hàng chèn lót	() filler cargo.
hàng chở	(dtừ) loading.
hàng chở xa	() outward cargo.
hàng chợ	() dishonest.
hàng chợ	() unreliable.
hàng chợ	() for rhetoric's sake.
hàng chợ	() (of goods) second-rate quality.
hàng chủ lực	() basic commodity.
hàng chục	() tens of....
hàng chứa trong một gói	(dtừ) docket.
hàng chữ	() line (of letters, types).
hàng chữ khắc trên đường vòng	(dtừ) circumscription.
hàng có sẵn	(dtừ) stock-in-trade.
hàng có thể bán được	(dtừ) vendible.
hàng cọc	(dtừ) spiling.
hàng công nghệ phẩm	() industrial items.
hàng công tước	(thngữ) the strawberry leaves.
hàng cột	(dtừ) colonnade.
hàng cột bao quanh	(dtừ) peristyle.
hàng cột trước	(dtừ) prostyle.
hàng cơm	() restaurant.
hàng cờ rếp	(dtừ) crepe.
hàng cung cấp	(dtừ) supply.
hàng cứu trợ	() relief.
hàng dấu chấm sang trang	(dtừ) leader.
hàng dễ cháy	() inflammable goods.
hàng dễ hỏng	(dtừ) perishables.
hàng dễ thối	(dtừ) perishables.
hàng dệt kim	(dtừ) hosiery, knitwork, knitwear, knitting.
hàng dọc	(dtừ) column.
hàng dỡ	() landing cargo.
hàng dung tích	() measurement cargo.
hàng đá	(dtừ) course.
hàng đàn	(dtừ) lot.
hàng đầu	() leading.
hàng đầu	() first-rate.
hàng đầu	() first-class.
hàng đầu	() top.
hàng đầu	() top-ranking.
hàng để cung cấp	(dtừ) store.
hàng địch	() to surrender to the enemy.
hàng đóng bao	() bag cargo.
hàng đóng gói sẵn	(dtừ) prepacks.
hàng đóng kiện	() bale cargo.
hàng đọng	() poorly selling goods.
hàng đôi	() double line.
hàng đối lưu	() bartered goods.
hàng đống	(dtừ) load, lot.
hàng đống	(ttừ, phó từ) wholesale.
hàng đồng	(dtừ) cart-load.
hàng ế	() unsaleable goods.
hàng ế	() unsold goods.
hàng flanen mịn	(dtừ) swan-skin.
hàng gạch	(dtừ) course.
hàng ghế	(dtừ) row.
hàng ghế chính phủ	(thngữ) treasury bench.
hàng ghế sau	(dtừ) back bench.
hàng ghế sắp tròn	(dtừ) circle.
hàng ghế trước	(dtừ) front bench.
hàng gia dụng	() household article.
hàng gia dụng	() (nói chung) household commodities.
hàng gia dụng	() household goods.
hàng giả	() counterfeit.
hàng giả	() imitation.
hàng giả	() monk (who goes from place to place to raise money).
hàng giải khát	() refreshment bar.
hàng giải khát	() snack bar.
hàng giậu	(dtừ) hedge.
hàng giỏi nhất	(dtừ) first-class.
hàng giống len	(dtừ) wool.
hàng giờ	() for hours together.
hàng giờ	() from one moment to another.
hàng gửi bán	() như hàng ký gửi.
hàng gửi chậm	() slow goods.
hàng gửi nhanh	() speed goods.
hàng gửi xe lửa tốc hành	(dtừ) express.
hàng hai	() to doublecross, by twos.
hàng hai chục	(dtừ) score.
hàng hà	() river navigation.
hàng hà sa số	(ttừ) innumerable.
hàng hải	() high seas navigation.
hàng hải	() shipping.
hàng hải	() marine.
hàng hải	() maritime.
hàng hải	() nautical.
hàng hiên	() verandah.
hàng hiên	() porch.
hàng hiên	() patio.
hàng hiên ngoài	(dtừ) loggia.
hàng hoa	() xem cửa hàng bán hoa.
hàng hóa	() goods.
hàng hóa	() wares.
hàng hóa	() merchandise.
hàng hóa	() commodities.
hàng hóa	() freight.
hàng hóa	() cargo.
hàng hóa ăn cắp trên tàu	(dtừ) plunderage.
hàng hóa bán	(dtừ) sale.
hàng hóa bị chìm dưới đáy biển	(dtừ) lagan.
hàng hóa chở	(dtừ) goods.
hàng hóa cung cấp thừa	(dtừ) overage.
hàng hóa gửi trả lại	(dtừ) return.
hàng hóa loại bốn	(dtừ) fourth.
hàng hóa loại vừa	(dtừ) middlings.
hàng hóa mua ở nước ngoài	(dtừ) off-shore purchases.
hàng hóa thượng hảo hạng	(dtừ) super, spanker.
hàng hóa tồn kho	(dtừ) inventory.
hàng hóa trên boong	(dtừ) deck-cargo.
hàng hóa trên tàu	(dtừ) shipment, shipload.
hàng hóa trôi giạt vào bờ	(thngữ) flotsam and jetsam.
hàng hóa vứt đi trôi giạt vào bờ	(dtừ) jetsam.
hàng hóa vứt xuống biển cho nhẹ tàu	(dtừ) jetsam.
hàng hóa xếp vào	(dtừ) stowage.
hàng họ	() goods bought and sold.
hàng họ	() busines is slack.
hàng khanh tướng	(dtừ) peerage.
hàng khô	() groceries.
hàng không	() aeronautical.
hàng không	() aeronautics.
hàng không	() aviation.
hàng không	() xem công ty hàng không.
hàng không dân dụng	() commercial aviation.
hàng không dân dụng	() civil aviation.
hàng không đúng quy cách	(dtừ) irregular.
hàng không học	(dtừ) aeronautics.
hàng không mẫu hạm	() aircraft carrier.
hàng không mẫu hạm	() carrier.
hàng không quân sự	() military aviation.
hàng không thể thao	() sporting aviation.
hàng khuyến mãi	() goods on promotion/on special.
hàng ký gửi	() goods on consignment.
hàng ký gửi	() consignment.
hàng lan can	(dtừ) baluster, balustrade.
hàng làm mẫu	() sample.
