ka ki	() khaki.
kẻ keo kiệt	(dtừ) grab-all, muckworm.
kẻ khai man trước tòa	(dtừ) perjurer.
kẻ khác	() xem người khác.
kẻ khẩu phật tâm xà	(thngữ) a wolf in sheep's clothing.
kẻ khéo luồn	(dtừ) insinuator.
kẻ khoác lác	(dtừ) bully.
kẻ khoác lác lừa người	(dtừ) mountebank.
kẻ khom lưng uốn gối	(dtừ) groveller.
kẻ khó	() pauper, the poor (nói khái quát).
kẻ khó	() beggar.
kẻ không trung nghĩa	(dtừ) disloyalist.
kẻ không trung thành	(dtừ) disloyalist.
kẻ khốn nạn	(dtừ) wretch.
kẻ khờ	() dumbbell.
kẻ khúm núm	(dtừ) lackey.
kẻ khủng bố	(dtừ) persecutor.
kẻ kiêu căng	(dtừ) popinjay.
kẻ kịnh hót	(dtừ) pickthank.
kẻ kịp bợm	(dtừ) humbug.
kẻ lang thang đầu đường xó chợ	(dtừ) shack.
kẻ lá mặt lá trái	(dtừ) double-dealer.
kẻ láu cá	(dtừ) tricker.
kẻ làm giả	(dtừ) counterfeiter.
kẻ làm giả mạo	(dtừ) counterfeiter.
kẻ làm hại	(dtừ) evil-doer.
kẻ làm khổ	(dtừ) persecutor.
kẻ làm liều	(dtừ) gambler.
kẻ làm tiền bằng mánh khóe gian lận	(dtừ) racketeer.
kẻ làm việc ác	(dtừ) evil-doer.
kẻ lạc hậu	(dtừ) luddite.
kẻ lại	(ngđtừ) retrace, re-trace.
kẻ lắm điều	(thngữ) bag of wind.
kẻ lầm đường	(dtừ) pervert.
kẻ lẩn tránh công việc nặng nhọc	(dtừ) feather merchant.
kẻ lẩn tránh trách nhiệm	(dtừ) feather merchant.
kẻ lẻn vào nhà để ăn trộm giữa ban ngày	(dtừ) housebreaker.
kẻ lêu lỏng	(dtừ) drummer, shack.
kẻ lêu lổng	(dtừ) rogue.
kẻ lệ thuộc	(dtừ) vassal.
kẻ liếm gót	(dtừ) reptile, apple-polisher, lickspittle, bootlicker, groveller, crawler.
kẻ liều mạng	() daredevil.
kẻ liều mạng tuyệt vọng	(dtừ) desperado.
kẻ lông mày	() to pencil one's eyebrows.
kẻ luồn cúi đê tiện	(dtừ) crawler.
kẻ luồn lọt	(dtừ) insinuator.
kẻ lười biếng	(dtừ) bum, dead-beat, lounger.
kẻ lười nhác	(dtừ) loafer.
kẻ lưu manh	(dtừ) rough-neck.
kẻ lừa bịp	(dtừ) duper, bamboozler, twister, bunco-steerer, juggler, flat, finagler.
kẻ lừa dối	(dtừ) deceiver.
kẻ lừa đảo	(dtừ) rogue.
kẻ lừa đảo	(dtừ) swindler.
kẻ lừa đảo	(dtừ) cheater.
kẻ lừa gạt	(dtừ) crook, juggler, deceiver, trickster, tricker, diddler, defrauder.
kẻ mách lẻo	(dtừ) snitch.
kẻ mạo	() impostor.
kẻ mạo danh	(dtừ) imposter.
kẻ mạo làm người khác	(dtừ) personator.
kẻ mạo phạm	(dtừ) desecrator.
kẻ mị dân	(dtừ) demagogue.
kẻ móc túi	(dtừ) cutpurse, pickpocket, filcher, diver, dip.
kẻ mối lái	(dtừ) pimp.
kẻ mới phất	() như nhà giàu mới.
kẻ mua chuộc	(dtừ) briber.
kẻ mưu cầu danh vọng	(dtừ) place-hunter.
kẻ mưu cầu địa vị	(dtừ) place-hunter.
kẻ mưu sát	() như kẻ ám sát.
kẻ mưu toan	(dtừ) machinator.
kẻ nào	() he who....
kẻ nào	() anyone who....
kẻ nào	() whoever....
kẻ nạy ổ khóa	(dtừ) picklock.
kẻ ném đá giấu tay	(dtừ) dastard.
kẻ nghèo	() xem người nghèo.
kẻ nghiện rượu	(dtừ) wino.
kẻ ngu dốt mà giữ địa vị cao	(dtừ) cocktail.
kẻ ngu ngốc	(dtừ) charlie.
kẻ ngược đãi	(dtừ) persecutor.
kẻ nhát gan	(dtừ) funk, poltroon.
kẻ nhát như cáy	(dtừ) poltroon.
kẻ nhu nhược	(dtừ) woman.
kẻ nịnh hót	(dtừ) adulator.
kẻ nịnh nọt	(dtừ) adulator.
kẻ nịnh thần	(dtừ) courtier.
kẻ nói ám chỉ	(dtừ) insinuator.
kẻ nói bóng gió	(dtừ) insinuator.
kẻ nói dối	(dtừ) liar.
kẻ nói dối có hệ thống	(dtừ) pseudologer.
kẻ nói điêu	(dtừ) liar.
kẻ nói láo	(dtừ) liar.
kẻ nói xấu sau lưng	(dtừ) scandalmonger.
kẻ nối giáo cho giặc	(dtừ) pander.
kẻ nứt	() crack, fissure.
kẻ oa trữ của ăn cắp	(dtừ) fencing-cully.
kẻ oa trữ đồ ăn trộm	(dtừ) resetter.
kẻ ô	() squares.
kẻ ô	() plaid (cloth).
kẻ ô vuông	() lined in squares, checked.
kẻ ở người đi	() he who goes, he who stays, separation.
kẻ phá bãi công	(dtừ) knobstick.
kẻ phá cuộc đình công	(dtừ) scab.
kẻ phá hoại	(dtừ) hun, destructor.
kẻ phá hoại cuộc đình công	(dtừ) fink, strike-breaker.
kẻ phá hoại tự do	(dtừ) liberticide.
kẻ phá phách	(dtừ) depredator.
kẻ phàm phu tục tử	(dtừ) philistine.
kẻ phản bội	(dtừ) rat.
kẻ phản bội	(dtừ) traitor, betrayer.
kẻ phản bội	(dtừ) cat in the pan.
kẻ phản bội	(dtừ) turncoat.
kẻ phản bội	(dtừ) quisling.
kẻ phản bội	(dtừ) renegade.
kẻ phản bội	(dtừ) apostate.
kẻ phản bội lời thề	(dtừ) perjurer.
kẻ phản bội ở lại làm cho chủ	(dtừ) blackleg.
kẻ phản bội trong cuộc bãi công	(dtừ) knobstick.
kẻ phản cách mạng	(dtừ) antirevolutionary.
kẻ phản đảng	(dtừ) turncoat, rat.
kẻ phản động	(dtừ) bourbon, reactionary.
kẻ phản quốc	(dtừ) parricide, patricide.
kẻ phạm pháp	(dtừ) la-breaker, law-breaker.
kẻ phạm tội	(dtừ) trespasser.
kẻ phạm tội ác	(dtừ) malfeasant.
kẻ phạm tội nhẹ	(dtừ) misdemeanant.
kẻ phất	(dtừ) operator.
kẻ phi pháp	(dtừ) malfeasant.
kẻ phiêu lưu mạo hiểm	(thngữ) gentleman of fortune.
kẻ phỉ báng	(dtừ) denigrator.
kẻ phỉnh phờ	(dtừ) cajoler.
kẻ phóng đãng	(dtừ) lecher.
kẻ phóng đãng trụy lạc	(dtừ) reprobate.
kẻ phụ bạc	(dtừ) betrayer.
kẻ qua đường	() passert-by.
kẻ quấy rầy	(dtừ) disturbance, harrier, persecutor, blighter.
kẻ quê	() countrymen, countryfolk.
kẻ quyền thế	(dtừ) plutocrat.
kẻ quý người thanh	() noble men, gentlemen.
kẻ rình mò	(dtừ) lurcher.
kẻ sáng tạo	(dtừ) demiurge.
kẻ sát nhân	() murderer.
kẻ sát nhân	() killer.
kẻ sát nhân	() manslayer.
kẻ sát nhân	() homicide.
kẻ si tình	(dtừ) love-bird.
kẻ sĩ	(dtừ) man of letters, scholar.
kẻ sọc	(dtừ) striation.
kẻ sống bám vào gái điếm	(dtừ) ponce, fancy man.
kẻ sống bám vào gái đĩ	(dtừ) souteneur.
kẻ sống bơ vơ	(dtừ) castaway.
kẻ sống đầu đường xó chợ	(dtừ) ragamuffin, corner-boy.
kẻ sống lang thang	(dtừ) hobo.
kẻ sùng đạo	(dtừ) votary.
kẻ ta đây	(dtừ) wiseacre.
kẻ tái phạm	(dtừ) backslider.
kẻ tán gái	(dtừ) philanderer.
kẻ tán tỉnh	(dtừ) cajoler.
kẻ tàn ác	(dtừ) fiend.
kẻ tàn phá	(dtừ) destructor, harrier.
kẻ tàn sát hàng loạt	(dtừ) slaughterer.
kẻ tâm phúc	(dtừ) grey eminence.
kẻ tấn công	() assailant.
kẻ tham ăn	(dtừ) glutton.
kẻ tham ăn tham uống	(dtừ) guzzler.
kẻ tham lam	(dtừ) guttler, shark.
kẻ tham lợi	(dtừ) grab-all.
kẻ tham nhũng	(dtừ) extortioner.
kẻ tham ô	(dtừ) peculator.
kẻ tham tàn	(dtừ) hawk, kite.
kẻ thành mục lục	(ngđtừ) catalogue.
kẻ thành tích bất hảo	(dtừ) black sheep.
kẻ thành tích bất hảo	(thngữ) bad character (halfpenny, lot, penny, sort).
kẻ thắng	() victor, winner.
kẻ theo chủ nghĩa hít-le	(dtừ) hitlerite.
kẻ theo đóm ăn tàn	(dtừ) hanger-on.
kẻ thề ẩu	(dtừ) perjurer.
kẻ thích bon chen	(dtừ) climber.
kẻ thích người sang	(dtừ) flunkey.
kẻ thích nhàn hạ	(dtừ) lotus-eater.
kẻ thô lỗ	(dtừ) cattle.
kẻ thông đồng giả dìm giá	(dtừ) knock-out.
kẻ thống trị	(dtừ) potentate, governor.
kẻ thua bạc chạy làng	(dtừ) levanter.
kẻ thù	() hostile.
kẻ thù	() enemy.
kẻ thù	() foe.
kẻ thù chung	() public enemy.
kẻ thù của chúa	(thngữ) the beast.
kẻ thù của giê-xu	(dtừ) antichrist.
kẻ thù dân tộc	() enemy of the people.
kẻ thù địch	(dtừ) hostile.
kẻ thù không đội trời chung	(dtừ) arch-enemy.
kẻ thù trong chiến tranh	(dtừ) foeman.
kẻ thù truyền kiếp	() traditional enemy.
kẻ thù trước mắt	() the enemy at the gates.
kẻ thụt két	(dtừ) peculator.
kẻ thương người	(dtừ) philanthropist.
kẻ thường xuyên phạm tội	(dtừ) outlaw.
kẻ ti tiện	(dtừ) miscreant.
kẻ tiết lộ	(dtừ) betrayer.
kẻ tinh nghịch	(dtừ) elf.
kẻ tích trữ	(dtừ) hoarder.
kẻ tình phụ	(dtừ) jilt.
kẻ tòng phạm	(dtừ) accessory, accomplice.
kẻ tôi tớ	(dtừ) flunkey.
kẻ tố giác	(dtừ) fink.
kẻ trác táng	(dtừ) rouô, rake, rakehell.
kẻ trái thói về tình dục	(dtừ) pervert.
kẻ trây lười	(dtừ) feather merchant.
kẻ trấn áp	(dtừ) represser.
kẻ trấn lột	(dtừ) mugger.
kẻ trốn nợ	(dtừ) levanter.
kẻ trốn việc	() quitter.
kẻ trốn việc	() malingerer.
kẻ trộm	() thief.
kẻ trộm	() burglar.
kẻ trộm bẻ khóa	(dtừ) burglar.
kẻ trộm dùng khóa vạn năng	(dtừ) passkey man.
kẻ trộm đào ngạch	(dtừ) cracksman, burglar.
kẻ trộm đêm	(dtừ) burglar.
kẻ trộm nạy cửa	(dtừ) cracksman.
kẻ trộm xác	(dtừ) body-snatcher.
kẻ trở mặt	(thngữ) cat in the pan (cat-in-the-pan).
kẻ trục lợi	(dtừ) profiteer.
kẻ trục xuất	(dtừ) ouster.
kẻ trưởng giả học làm sang	() snob.
kẻ tuân thủ	(dtừ) conformist.
kẻ tước đoạt	(dtừ) plunderer, despoiler.
kẻ vạch	() denounce.
kẻ vét hàng đầu cơ	(dtừ) corner-man.
kẻ vi phạm	(dtừ) trespasser.
kẻ vi phạm luật pháp	(dtừ) misdemeanant.
kẻ vi phạm quyền tác giả	(dtừ) pirate.
kẻ vô công rồi nghề	(dtừ) bum.
kẻ vô danh tiểu tốt	(dtừ) straw man.
kẻ vô dụng	(dtừ) rapscallion.
kẻ vô gia cư	(dtừ) dosser.
kẻ vô giá trị	(dtừ) losel.
kẻ vô giáo dục	(dtừ) cur.
kẻ vô lại	(dtừ) miscreant, coyote, rough-neck.
kẻ vơ vét	(dtừ) grab-all.
kẻ vờ vĩnh	(dtừ) dissimulator.
kẻ vu khống	(dtừ) slanderer, calumniator.
kẻ vu oan	(dtừ) slanderer.
kẻ vũ phu	(dtừ) brute.
kẻ xâm chiếm	(dtừ) invader.
kẻ xâm lấn	(dtừ) trespasser, invader.
kẻ xâm lược	(dtừ) aggressor, invader.
kẻ xâm phạm	(dtừ) trespasser, invader.
kẻ xấu	() malefactor.
kẻ xấu	() rascal.
kẻ xấu	() rapscallion.
kẻ xấu	() evildoer.
kẻ xấu	() wrongdoer.
kẻ xin xỏ	(dtừ) panhandler.
kẻ xoay xở làm giàu	(dtừ) money-grubber.
kẻ xỏ lá	(dtừ) scamp, tricker.
kẻ xu nịnh	(dtừ) encomiast, lickspittle, apple-polisher, lackey, flunkey.
kẻ xu thời	(dtừ) time-server.
kẻ xuống	(thngữ) to let fall.
kẻ xúc phạm	(dtừ) desecrator.
kẻ xúi bẩy	(dtừ) instigator.
kẻ xúi giục	() inciter.
kẻ xúi giục	() instigator.
kẻ xúi giục	() abetter.
kẻ xúi giục bạo động chính trị	(dtừ) fire-brand.
kẻ yếm thế	(dtừ) pessimist.
kẻng	(dtừ) smart.
kẻng ba góc	(dtừ) triangle.
kẻng báo động	(dtừ) alarm.
kẻo	() or else.
kẻo	() otherwise.
kẻo bạo ngược	(dtừ) tyrant.
kẻo không	() lest, else you will....
kẻo mà	() như kẻo.
kẻo nữa	() if not as a result, if not eventually.
kẻo rồi	() như kẻo nữa.
kẽ	() crevice.
kẽ	() interstice.
kẽ chân	(dtừ) space between toes.
kẽ cửa	(dtừ) door crack.
kẽ háng	() crutch, crotch.
kẽ hở	() slit.
kẽ hở	() aperture.
kẽ lá	(dtừ) space between leaves.
kẽ mắt	() commisures, corners of the eyes.
kẽ nách	() next door.
kẽ nẻ	() crevice.
kẽ nứt	() slit, fissure.
kẽ nứt sâu	(dtừ) chasm.
kẽ nứt sâu trên mặt sông băng	(dtừ) crevasse.
kẽ răng	(dtừ) space between teeth.
kẽ tay	(dtừ) the space between the fingers.
kẽ tóc	() interval between hairs on the scalp.
kẽ tóc chân tơ	() in minute detail.
kẽm	() zinc.
kẽm chưa tinh chế	(dtừ) tutenag.
kẽm gai	() barbed wire.
kẽm gai	() barbwire.
kẽo cà kẽo kẹt	() creaking sound.
kẽo kẹt	() như kẹt.
kẹ	() địa phương.
kẹ	() như ghẹ.
kẹo	() candy.
kẹo	() sweet.
kẹo	() close-fisted.
kẹo	() miserly.
kẹo	() stingy.
kẹo bánh	() sweets, confections.
kẹo bào	(dtừ) spun sugar.
kẹo bạc hà	() peppermint.
kẹo bạc hà	() mint.
kẹo bạc hà cứng	(dtừ) humbug.
kẹo bẩn	() miserly and stingy.
kẹo bi	() bull's eye.
kẹo bi đường	(dtừ) kiss.
kẹo bông	() candy floss.
kẹo bơ cứng	(đtừ) toffee.
kẹo cam thảo	(dtừ) liquorice.
kẹo cao su	(dtừ) chewing gum.
kẹo caramen	(dtừ) caramel.
kẹo cau su	(dtừ) bubble gum.
kẹo chanh	(dtừ) lemon drop.
kẹo chuối	(dtừ) banana candy.
kẹo cứng	(dtừ) rock.
kẹo dẻo	(dtừ) marshmallow.
kẹo dừa	(dtừ) coconut candy.
kẹo đạn	() round candies.
kẹo đạn	() (tiếng lóng) bullet.
kẹo đồng	() (thông tục) bullet.
kẹo đrajê	(dtừ) comfit.
kẹo đum	(dtừ) dump.
kẹo giòn	() brittle candy.
kẹo gôm	() chewing-gum.
kẹo gôm	() gum.
kẹo hạnh nhân	(dtừ) comfit.
kẹo hạnh nhân cứng	(dtừ) rock.
kẹo hình cầu to	(thngữ) gob-stopper.
kẹo hình nệm	(dtừ) cushion.
kẹo ho	() cough sweet.
kẹo ho	() cough drop.
kẹo ho	() throat pastille/lozenge.
kẹo hồng	() soft candy made of sugar flavoured with vanilla or sesame.
kẹo kasu	(dtừ) cachou.
kẹo kéo	() barley-sugar.
kẹo lam	(dtừ) puffed rice candy.
kẹo lạc	() peanut candy.
kẹo mạch nha	(dtừ) malt sugar.
kẹo mè	(dtừ) sesame candy.
kẹo mè xửng	(dtừ) malt sugar, sesame candy.
kẹo mềm	(dtừ) stickjaw, fondant, fudge, paste.
kẹo mứt	() preserves, confections.
kẹo nhân quả	(dtừ) praline.
kẹo nổ	(dtừ) crackling candy, pop.
kẹo nuga	(dtừ) nougat.
kẹo que	(dtừ) nicy, lollipop.
kẹo quế	(dtừ) candied cinnamon.
kẹo sôcôla	(dtừ) chocolate.
kẹo sữa	(đtừ) toffee.
kẹo thổ mộc hương	(dtừ) elecampane.
kẹo trái cây	() fruit drop.
kẹo trứng chim	(dtừ) comfit.
kẹo trứng chim để bày lên bánh	(thngữ) hundreds and thousands.
kẹo viên	(dtừ) drop.
kẹo viên dẹt	(dtừ) patty.
kẹo viên thơm	(dtừ) pastille.
kẹo vừng	(dtừ) sesame candy.
kẹo xìu	(dtừ) peanut candy.
kẹp	(dtừ) clip.
kẹp	(dtừ) clampclamp.
kẹp an toàn	() safety clip.
kẹp bằng bàn kẹp	(ngđtừ) cramp.
kẹp bằng thanh kẹp	(ngđtừ) cramp.
kẹp ca vát	(dtừ) tie-clip.
kẹp cái khác vào giữa	(dtừ) sandwich.
kẹp cà vạt	() tie-pin.
kẹp cầm máu	(dtừ) haemostat.
kẹp chặt	(dtừ) holdfast, grip.
kẹp có lò xo dùng để kẹp giấy	(thngữ) bulldog clip.
kẹp dây	() wire board.
kẹp đạn	() cartridge clip, ammunition clip.
kẹp đường miếng	(dtừ) sugar-tongs.
kẹp giấy	(dtừ) clip.
kẹp giấy	(dtừ) paper-clip.
kẹp giấy	(dtừ) paper-fastener.
kẹp giấy đóng lỗ	(dtừ) loose leaf notebook.
kẹp hạt dẻ	(dtừ) cracker.
kẹp mạch	() angiotripsy, vasotripsy.
kẹp mỏ dài	() long nose pliers.
kẹp mỏ vịt	() duck bill pliers.
kẹp mũi ngựa	(dtừ) twitch.
kẹp nong phế quản	() bronchodilator.
kẹp phế quản	() bronchofixator.
kẹp phơi quần áo	() clothes-peg.
kẹp phơi quần áo	() clothes-pin.
kẹp quả hạch	(dtừ) nutcracker.
kẹp quăn	(dtừ) goffer.
kẹp quần áo	() clothes-pin.
kẹp quần áo	() clothes-peg.
kẹp thai nhi	() forceps.
kẹp thư	(dtừ) letter-clip.
kẹp tóc	(dtừ) hair-pin.
kẹp uốn tóc	() curling-irons.
kẹp vào giữa	(ngđtừ) sandwich.
kẹp xoắn tóc	() curling-pins.
kẹt	() to stick.
kẹt	() to be involved/implicated in something.
kẹt	() busy.
kẹt	() tied up.
kẹt	() xem kẹt tiền.
kẹt băng	(ttừ) ice-bound.
kẹt chặt	(đtừ) seize.
kẹt cứng	() xem kẹt 1, 3, 4.
kẹt đường	() xem kẹt xe.
kẹt tay	() to get one's hand stuck in....
kẹt tiền	() xem túng tiền.
kẹt vốn	() to have one's money involved in a business deal.
kẹt xe	() traffic jam/holdup.
kẹt xe	() snarl-up.
kẹt xe	() gridlock.
kê	(đtừ) to chock.
kê	(đtừ) to prop.
kê	(dtừ) (bot) millet.
kê bàn ghế	() arrange furniture.
kê biên	() (pháp lý) to seize.
kê biên	() to distrain.
kê cứu	() carry out research on.
kê dâm	() sodomy.
kê đơn	() write a prescription.
kê đơn	() prescribe a medicine.
kê gian	() sodomy.
kê giao	() sodomy.
kê khai	(đtừ) to enumerate.
kê khai	(đtừ) to make up a list.
kê khai giả mạo một khoản	(thngữ) to cook (doctor) an account.
kê pi	() kepi.
kê sát	() research.
kê trình	() declare, report.
kên kên	(dtừ) vulture.
kênh	() waterway.
kênh	() channel.
kênh	() canal.
kênh	() (nói về ti vi) channel.
kênh	() (nói về điện thoại) off the hook.
kênh âm nhạc	() music channel.
kênh chiếu phim	() (truyền hình) movie channel.
kênh chính	() main canal.
kênh chính	() main channel.
kênh chuyên đề	() (truyền hình) specialized channel.
kênh chuyên đề	() specialist channel.
kênh chuyên đề	() thematic channel.
kênh đào	() canal.
kênh đào cho tàu bè đi lại	(dtừ) fairway.
kênh đào hẹp	(dtừ) sluit.
kênh kiệu	() to put on airs.
kênh kiệu	() to give oneself airs.
kênh kiệu	() to behave superciliously.
kênh mương	(dtừ) channel.
kênh tháo nước	() drainage canal.
kênh thời sự	() (truyền hình) news channel.
kênh thương mại	() (truyền hình) commercial chain.
kênh tổng hợp	() (truyền hình) general-interest channel.
kênh truyền hình	() television channel.
kênh truyền hình	() tv channel.
kênh tưới nước	() irrigation canal.
kêu	(đtừ) to call.
kêu	(đtừ) to cry.
kêu	(đtừ) to knock.
kêu	(đtừ) to sound.
kêu án	() xem kết án.
kêu át	(ngđtừ) outring.
kêu ầm ĩ	(nđtừ) ding.
kêu be be	(đtừ) baa, bleat.
kêu be be	(nđtừ) bray.
kêu bốp	(nđtừ) cloop.
kêu ca	() to complain.
kêu ca	() to moan.
kêu cạc cạc	(nđtừ) quack.
kêu cầu	() to pray for help from higher levels.
kêu chiêm chiếp	(đtừ) chirp.
kêu chiêm chiếp	(nđtừ) cheep, tweet.
kêu chim chiếp	(nđtừ) peep.
kêu chít chít	(nđtừ) peep.
kêu chói tai	(đtừ) jangle.
kêu chói tai	(ngđtừ) jar.
kêu cót két	(dtừ) creakiness.
kêu cọt kẹt	(dtừ) creakiness.
kêu cọt kẹt	(đtừ) grate.
kêu cục cục	(nđtừ) cluck, chuckle.
kêu cứu	() to call for help.
kêu cứu	() to cry/shout for help.
kêu cứu đùa	(thngữ) to cry wolf.
kêu cứu láo để đánh lừa mọi người	(thngữ) to cry wolf.
kêu dậy	() xem đánh thức.
kêu điện thoại	() xem gọi điện thoại.
kêu đói	(thngữ) to cry cupboard.
kêu đôm đốp	(nđtừ) whang.
kêu eng éc	() high-pitched squeal.
kêu gào	() cry out one's opposition, cry out.
kêu gào	() scream.
kêu gọi	() to appeal to somebody for something.
kêu gọi	() to call upon somebody to do something.
kêu gọi đầu hàng	(ngđtừ) summon.
kêu gọi tình cảm	(dtừ) emotionalism.
kêu gộp gộp	(nđtừ) gobble.
kêu gợi	(ttừ) suggestive.
kêu ha ha	(nđtừ) ha.
kêu hét	() scream.
kêu inh ỏi	(đtừ) scream.
kêu inh tai	(dtừ) stridulation.
kêu inh tai	(nđtừ) stridulate, bray.
kêu ken két	() to creak.
kêu ken két gai người	(ngđtừ) jar.
kêu ken két làm gai người	(nđtừ) jar.
kêu kèn kẹt	(đtừ) grate.
kêu kèn kẹt	(nđtừ) scroop.
kêu kèn kẹt	(ttừ) rasping.
kêu kẽo kẹt	(dtừ) creakiness.
kêu khóc	() cry and holler, lament, bewail.
kêu khùng khục	(nđtừ) wheeze.
kêu la	(đtừ) to cry out, to seream.
kêu lách cách	() click.
kêu lạch cạch	(ngđtừ) rattle.
kêu lạch cạch	(nđtừ) chatter, rattle.
kêu lạch cạch	(ttừ) rattling.
kêu lập cập	(nđtừ) clack.
